magnitude,cdi,mmi,alert,tsunami,sig,net,dmin,gap,depth
7.1,9,6,green,1,780,us,0.0,16.5,21.0
6.8,0,7,green,1,711,us,0.0,17.5,12.0
6.7,0,6,green,1,691,us,0.0,26.5,11.0
7.0,0,6,green,0,754,us,0.0,17.5,8.8
7.1,0,5,green,0,776,us,0.0,18.4,10.0
8.0,8,7,green,1,993,us,0.0,20.9,24.0
6.9,6,7,yellow,0,814,us,0.0,28.0,107.0
6.8,6,7,green,0,771,us,0.0,19.3,45.0
7.5,6,6,green,0,1425,ak,0.0,0.0,8.7
6.7,0,4,green,0,691,us,0.0,13.7,200.7
7.1,5,5,green,0,843,us,0.0,8.7,155.0
7.3,6,5,green,0,1014,us,0.0,14.8,31.0
6.5,4,5,green,0,708,us,0.0,57.3,20.0
6.8,7,6,green,0,795,us,0.0,13.7,13.7
7.4,8,7,yellow,0,1455,us,0.0,25.5,24.0
7.8,8,7,green,0,1726,us,0.0,42.7,14.0
6.5,6,6,green,0,745,us,0.0,34.4,17.0
6.6,3,5,green,0,675,us,0.0,17.7,13.0
7.3,7,6,green,0,1221,us,0.0,15.5,170.0
7.6,8,7,green,0,1555,us,0.0,34.3,35.0
7.6,8,5,green,0,1115,us,0.0,10.2,28.0
7.3,5,5,green,0,994,us,0.0,37.0,28.0
6.6,4,5,green,0,678,us,0.0,14.6,91.1
7.7,7,4,green,0,941,us,0.0,13.8,583.2
6.5,5,6,green,0,653,us,0.0,11.7,41.0
6.6,4,5,green,0,675,us,0.0,15.7,134.7
6.7,0,7,green,0,691,us,0.0,15.4,16.0
6.8,6,5,green,0,732,us,0.0,12.6,198.0
6.7,0,7,green,0,691,us,0.0,26.9,29.0
7.0,7,7,green,0,1000,us,0.0,95.9,13.0
6.5,7,6,green,0,1171,us,0.0,54.1,20.0
8.2,9,6,green,0,1213,us,0.0,14.9,25.1
8.6,9,7,yellow,0,2048,official,0.0,16.6,20.0
7.1,7,7,green,0,1496,us,0.0,15.2,40.7
6.6,6,6,green,0,709,us,0.0,10.1,118.0
7.4,9,8,green,0,1752,us,0.0,37.9,20.0
6.7,7,7,green,0,833,us,0.0,13.4,12.0
6.7,9,7,green,0,1551,us,0.0,11.1,11.0
7.1,5,5,green,0,793,us,0.0,12.0,23.0
